dT_hp_ev_sh,dT_hp_cd_sc,dT_he_ev_sh,dT_he_cd_sc
5.0,40.0,1.0,3.0
7.733258636440726,36.02945136542037,1.185757677890552,2.50665200379302
5.798899758448327,26.48221829090849,0.9903844304575332,2.705812055463569
5.692619666690479,29.148299401400187,1.1855500364554823,2.6644720262880592
6.584308420305769,38.79094406339205,1.1574038166505458,2.636530451035023
5.584819076367907,32.70723433205048,1.292450492897628,2.689673720767649
7.896406392858408,32.61512650055069,0.8619051312592807,2.786158103149873
6.498411345548928,40.56584647206245,1.0601962045441182,2.582010389398915
6.978492949387023,42.16772965919165,1.0911507972009622,2.6535646766974312
6.865189420632552,21.103363863531804,1.3277574086158697,3.0630439226615485
